Price,Address,City,Bedrooms,Baths,Area,Type
9000000,"Orchard Greenz, Bedian Road",Lahore,3,5,2.00 Kanal,Farm House
160000000,"Green Forts 2, Green Fort",Lahore,3,3,4.00 Kanal,Farm House
10000000,"Orchard Greenz, Bedian Road",Lahore,3,4,2.00 Kanal,Farm House
10000000,"Orchard Greenz, Bedian Road",Lahore,4,5,2.00 Kanal,Farm House
165000000,"Barki Road, Cantt",Lahore,5,6,9.11 Kanal,Farm House
220000000,"Bedian Road, Lahore",Lahore,5,5,16.00 Kanal,Farm House
20000000,"Ferozepur Road, Lahore",Lahore,3,3,8.00 Kanal,Farm House
194000000,"Barki Road, Cantt",Lahore,6,6,8.00 Kanal,Farm House
8500000,"Bedian Road, Lahore",Lahore,1,1,2.00 Kanal,Farm House
37500000,"Bedian Road, Lahore",Lahore,2,2,4.50 Kanal,Farm House
120000000,"Bedian Road, Lahore",Lahore,4,5,12.00 Kanal,Farm House
216000000,"Bedian Road, Lahore",Lahore,3,4,38.00 Kanal,Farm House
80000000,"Bedian Road, Lahore",Lahore,7,6,3.00 Kanal,Farm House
52500000,"Barki Road, Cantt",Lahore,4,4,4.00 Kanal,Farm House
145000000,"Bedian Road, Lahore",Lahore,7,6,8.80 Kanal,Farm House
170000000,"Chaudhary Homes, Barki Road",Lahore,5,6,9.11 Kanal,Farm House
7500000,"DHA Phase 7, DHA Defence",Lahore,1,1,1.00 Kanal,Farm House
25500000,"Bedian Road, Lahore",Lahore,2,2,4.00 Kanal,Farm House
35000000,"Bedian Road, Lahore",Lahore,3,3,4.00 Kanal,Farm House
36000000,"Orchard Greenz, Bedian Road",Lahore,3,4,8.00 Kanal,Farm House
72500000,"Bedian Road, Lahore",Lahore,4,3,4.00 Kanal,Farm House
129000000,"Barki Road, Cantt",Lahore,6,6,8.00 Kanal,Farm House
110000000,"Bedian Road, Lahore",Lahore,7,6,8.00 Kanal,Farm House
200000000,"Bedian Road, Lahore",Lahore,2,2,16.00 Kanal,Farm House
18000000,"Bedian Road, Lahore",Lahore,2,3,4.00 Kanal,Farm House
30000000,"Bedian Road, Lahore",Lahore,2,2,8.00 Kanal,Farm House
65000000,"Eden Park, Lahore",Lahore,2,2,5.00 Kanal,Farm House
641300000,"Raiwind Road, Lahore",Lahore,3,3,51.30 Kanal,Farm House
120000000,"Swiss Farms, Bedian Road",Lahore,4,5,8.00 Kanal,Farm House
260000000,"Bedian Road, Lahore",Lahore,1,1,40.00 Kanal,Farm House
35000000,"Bedian Road, Lahore",Lahore,4,6,5.00 Kanal,Farm House
64000000,"Barki Road, Cantt",Lahore,3,4,8.00 Kanal,Farm House
130000000,"Bedian Road, Lahore",Lahore,5,6,12.00 Kanal,Farm House
250000000,"Bedian Road, Lahore",Lahore,6,6,40.00 Kanal,Farm House
13500000,"Barki Road, Cantt",Lahore,2,3,2.00 Kanal,Farm House
80000000,"Bedian Road, Lahore",Lahore,5,5,4.00 Kanal,Farm House
80000000,"Bedian Road, Lahore",Lahore,5,5,3.50 Kanal,Farm House
120000000,"Bedian Road, Lahore",Lahore,3,5,10.00 Kanal,Farm House
250000000,"Bedian Road, Lahore",Lahore,3,4,40.00 Kanal,Farm House
50000000,"Bedian Road, Lahore",Lahore,3,3,8.00 Kanal,Farm House
350000000,"Bedian Road, Lahore",Lahore,10,6,56.00 Kanal,Farm House
35000000,"Bedian Road, Lahore",Lahore,1,1,8.00 Kanal,Farm House
220000000,"Bedian Road, Lahore",Lahore,3,3,36.00 Kanal,Farm House
27500000,"Bedian Road, Lahore",Lahore,2,2,3.00 Kanal,Farm House
250000000,"Barki Road, Cantt",Lahore,4,6,16.00 Kanal,Farm House
80000000,"Green Palms Farmhouses, Bedian Road",Lahore,4,5,4.00 Kanal,Farm House
80000000,"Bedian Road, Lahore",Lahore,4,5,8.00 Kanal,Farm House
70000000,"Bedian Road, Lahore",Lahore,1,1,24.00 Kanal,Farm House
80000000,"Green Palms Farmhouses, Bedian Road",Lahore,4,4,8.00 Kanal,Farm House
100000000,"Bedian Road, Lahore",Lahore,2,6,9.00 Kanal,Farm House
110000000,"Bedian Road, Lahore",Lahore,5,6,4.00 Kanal,Farm House
53000000,"Barki Road, Cantt",Lahore,2,3,8.00 Kanal,Farm House
145000000,"Swiss Farms, Bedian Road",Lahore,6,6,8.00 Kanal,Farm House
100000000,"Barki Road, Cantt",Lahore,5,6,4.00 Kanal,Farm House
12000000,"DHA Phase 10, DHA Defence",Lahore,1,1,4.00 Kanal,Farm House
75000000,"Bedian Road, Lahore",Lahore,2,3,8.00 Kanal,Farm House
260000000,"Spring Meadows, Bedian Road",Lahore,1,1,40.00 Kanal,Farm House
120000000,"Spring Meadows, Bedian Road",Lahore,6,6,8.00 Kanal,Farm House
15000000,"Swiss Farms, Bedian Road",Lahore,1,1,2.00 Kanal,Farm House
300000000,"Barki Road, Cantt",Lahore,4,6,16.00 Kanal,Farm House
250000000,"Barki Road, Cantt",Lahore,5,6,16.00 Kanal,Farm House
160000000,"Barki Road, Cantt",Lahore,4,5,12.00 Kanal,Farm House
240000000,"Bedian Road, Lahore",Lahore,1,1,56.00 Kanal,Farm House
